timestamp,source_id,precipitation,pressure_msl,sunshine,temperature,wind_direction,wind_speed,cloud_cover,dew_point,relative_humidity,visibility,wind_gust_direction,wind_gust_speed,condition,precipitation_probability,precipitation_probability_6h,solar,icon,archive_timestamp
2026-07-03 23:00:00+00:00,202203,0.0,1025.6,0.0,16.2,283,5.5,59,8.4,,65900,,11.1,dry,1,,0.0,partly-cloudy-night,2026-07-03T22:03:13+00:00
2026-07-04 00:00:00+00:00,202203,0.0,1025.8,0.0,15.4,277,5.5,53,8.6,,67600,,11.1,dry,1,0.0,0.0,partly-cloudy-night,2026-07-03T22:03:13+00:00
2026-07-04 01:00:00+00:00,202203,0.0,1025.8,0.0,14.6,273,5.5,48,8.8,,69400,,11.1,dry,1,,0.0,partly-cloudy-night,2026-07-03T22:03:13+00:00
2026-07-04 02:00:00+00:00,202203,0.0,1026.0,0.0,14.0,271,5.5,51,8.8,,64200,,11.1,dry,1,,0.0,partly-cloudy-night,2026-07-03T22:03:13+00:00
2026-07-04 03:00:00+00:00,202203,0.0,1026.0,0.0,13.8,260,5.5,47,9.1,,59400,,11.1,dry,1,,0.0,partly-cloudy-night,2026-07-03T22:03:13+00:00
2026-07-04 04:00:00+00:00,202203,0.0,1026.1,17.0,14.2,261,5.5,45,9.1,,57500,,11.1,dry,1,,0.008,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 05:00:00+00:00,202203,0.0,1026.1,29.0,15.4,263,5.5,43,9.1,,56700,,11.1,dry,1,,0.072,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 06:00:00+00:00,202203,0.0,1026.0,45.0,17.2,272,7.4,32,9.1,,53700,,14.8,dry,1,0.0,0.206,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 07:00:00+00:00,202203,0.0,1025.7,52.0,19.1,277,9.3,30,8.8,,51500,,16.7,dry,1,,0.367,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 08:00:00+00:00,202203,0.0,1025.3,57.0,20.9,280,9.3,27,8.2,,53100,,20.4,dry,1,,0.528,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 09:00:00+00:00,202203,0.0,1025.0,56.0,22.0,288,13.0,26,7.8,,55200,,25.9,dry,2,,0.647,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 10:00:00+00:00,202203,0.0,1024.6,56.0,22.8,292,13.0,26,7.4,,58700,,29.6,dry,1,,0.739,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 11:00:00+00:00,202203,0.0,1024.2,51.0,23.5,293,14.8,28,6.9,,59800,,31.5,dry,1,,0.792,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 12:00:00+00:00,202203,0.0,1023.8,52.0,24.2,295,16.7,32,6.7,,59900,,35.2,dry,2,2.0,0.817,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 13:00:00+00:00,202203,0.0,1023.2,51.0,24.9,298,16.7,34,6.4,,62900,,37.0,dry,2,,0.786,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 14:00:00+00:00,202203,0.0,1022.9,50.0,25.1,302,16.7,33,6.2,,62500,,37.0,dry,2,,0.681,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 15:00:00+00:00,202203,0.0,1022.6,45.0,25.2,305,16.7,32,6.1,,65200,,35.2,dry,1,,0.586,partly-cloudy-day,2026-07-03T22:03:13+00:00
2026-07-04 16:00:00+00:00,202203,0.0,1022.4,47.0,25.0,308,14.8,38,5.9,,69800,,33.3,dry,1,,0.461,partly-cloudy-day,2026-07-03T22:03:13+00:00
